Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_erg,form_ungrammatical_nom,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
14,wiki_linguistics_01814,25,"მონათესავე ენათა შედარება გულისხმობს ლექსიკის (მარტივი ფუძეების ანუ ძირების), ბგერების (ფონემების), ფორმანტებისა და შესიტყვების (სინტაგმის) სტრუქტურის [MASK].",შესწავლას,შესწავლამ,შესწავლა,1.0283602204084395e-16,53.11050380895156,2.6505500659376732e-17,55.06648582131513,2.936753850293645e-16,51.596627169744,0.63
15,wiki_management_01889,20,"პროექტის მართვა (ინგლ. Project Management) წარმოადგენს აკადემიურ დისციპლინას, რომელიც უზრუნველყოფს დროითი, ადამიანური და მატერიალური რესურსების [MASK], ორგანიზებას, უსაფრთხოებასა და მართვას, რათა წარმატებით შესრულდეს პროექტის მიზნები.",დაგეგმვას,დაგეგმვამ,დაგეგმვა,1.4218173780546333e-17,55.96504143975544,9.860168071275926e-18,56.49309346973346,1.2364444895165216e-23,76.09814871138097,0.63
16,wiki_metallurgy_02026,9,"ლითონმცოდნეობა, ლითონგრაფია — მეცნიერება, რომელიც შეისწავლის [MASK] ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის, აგრეთვე მათი ცვალებადობის კანონზომიერებებს თბური, მექანიკური და სხვა ზემოქმედებათა შედეგად.",კავშირს,კავშირმა,კავშირი,1.6852708666605327e-17,55.71979712459664,1.3921264564671818e-17,55.995487345984884,2.698214773506992e-17,55.04077242404982,0.63
17,wiki_metallurgy_02031,10,"ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის [MASK] იკვლევს ლითონმცოდნეობა (ლითონგრაფია).",კავშირს,კავშირმა,კავშირი,3.053664498263927e-17,54.86223604907729,2.8483841451445784e-17,54.96263388569861,6.879226384470884e-17,53.6905312798498,0.63
18,wiki_metaphysics_02051,2,არისტოტელე [MASK] ფილოსოფიის დარგთა შორის უმნიშვნელოვანესად თვლიდა და „პირველად ფილოსოფიას“ ეძახდა.,მას,მან,იგი,2.9041630114079457e-06,18.393446134878428,2.5444435323151976e-06,18.584218394732503,6.007760475768006e-06,17.344741274333202,0.63
19,wiki_physical_02464,6,"ქიმიური თერმოდინამიკა მიზნად ისახავს თერმოდინამიკის [MASK] ქიმიური რეაქციების, ფაზიკური გარდაქმნების (გახსნა, აორთქლება და სხვა).",გამოყენებას,გამოყენებამ,გამოყენება,9.07784865940163e-11,33.35885860705499,2.609091808138479e-11,35.1576613334823,1.8653035094288372e-10,32.31987055382358,0.63
20,wiki_political_02555,5,"იგი იყენებს კვლევის სტრუქტურულ [MASK], რომელიც დამუშავდა მატემატიკაში, ფიზიკასა და ბუნების სხვა მეცნიერებებში.",მეთოდებს,მეთოდებმა,მეთოდები,4.619591058116829e-17,54.26501246805412,1.760873851449078e-17,55.65648605451665,2.0935133494916322e-17,55.40685149549227,0.63
21,wiki_politics_02578,2,მონეტარულ [MASK] ძირითადად წარმართავს ცენტრალური ბანკი მონეტარული პოლიტიკის ინსტრუმენტების მეშვეობით.,პოლიტიკას,პოლიტიკამ,პოლიტიკა,7.752476560033136e-12,36.908479879858184,5.812381932757548e-12,37.32400763278852,1.6642898580803668e-11,35.80630232398542,0.63
22,wiki_semiotics_02652,5,სინტაქტიკა სწავლობს ნიშნების ფორმალურ [MASK] შინაარსისგან დამოუკიდებლად.,სტრუქტურას,სტრუქტურამ,სტრუქტურა,2.6379914046378407e-17,55.07333774921843,1.7662285197591958e-17,55.65210559796137,6.079928570211197e-17,53.86872323875963,0.63
23,wiki_sociolinguistics_02704,1,"[MASK] იყენებს მოსახლეობის შედარებით მცირე ნაწილი, თუმცა იგი ძირითადში გასაგებია სტანდარტული ენის მატარებლებისთვის.",მას,მან,იგი,8.448604376098961e-07,20.174783621748478,2.548102202126755e-06,18.58214542534675,3.614800334617032e-06,18.07765260796055,0.63
24,wiki_sociology_02730,2,კონტი [MASK] სოციალურ სტატიკად და სოციალურ დინამიკად ყოფდა.,სოციოლოგიას,სოციოლოგიამ,სოციოლოგია,5.5820584064471835e-21,67.27969277287934,2.018304630775111e-21,68.74734605003377,1.635460544339341e-20,65.72886494307899,0.63
25,wiki_veterinary_02924,5,1932 წელს საქართველოს სასოფლო-სამეურნეო [MASK] გამოეყო ზოოტექნიკური ფაკულტეტი და მის ბაზაზე დაარსდა საქართველოს ზოოტექნიკურ-სავეტერინარო ინსტიტუტი ზოოტექნიკური და სავეტერინარო ფაკულტეტებით.,ინსტიტუტს,ინსტიტუტმა,ინსტიტუტი,3.9145998113992455e-17,54.50391278439896,8.015453204279769e-06,16.92878447476067,7.042947844364583e-22,70.2662386884459,0.63
26,wiki_veterinary_02926,3,"1959 წელს [MASK] შეუერთდა საქართველოს ვეტერინარიის სამეცნიერო-კვლევითი ინსტიტუტი და მან მიიღო საქართველოს ზოოტექნიკურ-სავეტერინარო სასწავლო-კვლევითი ინსტიტუტის, ხოლო 1999 წლის 11 მაისიდან კი საქართველოს სახელმწიფო ზოოტექნიკურ-სავეტერინარო აკადემიის სახელწოდება.",ინსტიტუტს,ინსტიტუტმა,ინსტიტუტი,7.30450061798451e-17,53.60399196847311,2.0730690266645983e-06,18.879800414879373,7.998808511101198e-22,70.08263297291516,0.63
27,wiki_viticulture_02965,1,"[MASK] ადასტურებს არქეოლოგიური გათხრების შედეგად საქართველოს ტერიტორიაზე ნაპოვნი უძველესი საგნები: თიხის ქვევრები, ოქროს, ვერცხლისა და ბრინჯაოს ფიალები და სხვა ნივთები.",ამას,ამან,ეს,2.2101946797192787e-06,18.787395117763754,3.982526777690509e-06,17.937884507156408,6.2006048026791625e-12,37.23072819681484,0.63
28,wiki_automotive_00339,20,"მილისი — მანქანების, მექანიზმების, ხელსაწყოების ან ცილინდრული ან კონუსური ფორმის (ღერძული სიმეტრიით) საგნის დეტალი, [MASK] გააჩნია ღერძული ხვრელი.",რომელსაც,რომელმაც,რომელმაც,1.5255907328537432e-06,19.322200584133597,5.357375812309333e-06,17.510042066707378,5.357375812309333e-06,17.510042066707378,0.63
29,wiki_automotive_00343,27,"რელატივისტური მექანიკა — თეორიული ფიზიკის ნაწილი, რომელიც განიხილავს სხეულთა (ნაწილაკთა) მოძრაობის კლასიკურ კანონებს სინათლის სიჩქარის მახლობელი სიჩქარით მოძრაობისას, რელატივისტური მექანიკა ემყარება ფარდობითობის [MASK].",თეორიას,თეორიამ,თეორია,4.25673436846822e-18,57.704958643046815,3.483844695440064e-18,57.99402539577869,3.220305713532294e-17,54.78557995876355,0.63
30,wiki_automotive_00360,6,ზეგამტარობა და ზედენადობა მაკროსკოპულ კვანტურ [MASK] წარმოადგენენ.,ეფექტებს,ეფექტებმა,ეფექტები,9.648189525634852e-23,73.13408793510003,1.7901881917797719e-22,72.24230683015749,8.916439343269178e-23,73.24787847757257,0.63
31,wiki_banking_00411,7,საქართველოს ეროვნული ბანკი წარმოადგენს საქართველოს ცენტრალურ [MASK] და მისი სტატუსი განსაზღვრულია ქვეყნის კონსტიტუციით.,ბანკს,ბანკმა,ბანკი,1.0326723567603409e-16,53.104466925423516,1.0112269949855704e-17,56.456670730798514,1.7025491196878292e-17,55.70508119152459,0.63
32,wiki_banking_00413,5,საქართველოს ეროვნული ბანკი მონეტარულ [MASK] ახორციელებს საქართველოს პარლამენტის მიერ განსაზღვრული ფულად-საკრედიტო და სავალუტო პოლიტიკის ძირითადი მიმართულებების შესაბამისად.,პოლიტიკას,პოლიტიკამ,პოლიტიკა,2.405866175629907e-11,35.27465264776595,7.950160482073674e-12,36.872153155690974,1.6304435206893622e-11,35.83594457742631,0.63
33,wiki_bioinformatics_00467,23,"ბიომრავალფეროვნების გლობალური საინფორმაციო ფონდი (ინგლ. Global Biodiversity Information Facility; აბრევ. GBIF) — საერთაშორისო ორგანიზაცია და ინტერნეტ-საიტი, რომელიც აგროვებს [MASK] მსოფლიოს ბიომრავალფეროვნებაზე.",ინფორმაციას,ინფორმაციამ,ინფორმაცია,5.760934930530732e-13,40.65876227079421,2.5806182293308666e-06,18.563851841061435,1.2669535018724708e-11,36.19984546628224,0.63
34,wiki_biotechnology_00530,17,"ის ხშირად მოიცავს მიკრობების — პაწაწინა, ერთუჯრედიანი არსებების, მაგალითად, ბაქტერიებისა და საფუვრის - [MASK].",გამოყენებას,გამოყენებამ,გამოყენება,7.22153674613069e-11,33.68890316785216,1.1731312727774247e-10,32.98891648965173,1.2061783973976077e-10,32.94883764693681,0.63
35,wiki_cellular_00578,4,"ძირითადი პროცესი, [MASK] ცხოველთა ემბრიონული განვითარება მოიცავს არის: ემბრიონული ინდუქცია, მორფოგენეზი, უჯრედების დიფერენცირება, ზრდა და დროის ზოგადი კონტროლი, ევოლუციური განვითარების ბიოლოგის კვლევის პერიოდში.",რომელსაც,რომელმაც,რომელიც,2.588488086985309e-06,18.559458890834343,2.161771135433811e-06,18.819354774860336,9.968096037482612e-07,19.93617869615736,0.63
36,wiki_computer_00673,8,"პროგრამას აქვს გაშვებადი სახე, ანუ პროცესორი [MASK] იყენებს პირდაპირ, რათა შეასრულოს ინსტრუქციები.",მას,მან,იგი,2.641644641698803e-06,18.530132163352672,5.163906735106143e-06,17.563105624839977,1.990515193028842e-05,15.616498591290034,0.63
37,wiki_computer_00684,1,[MASK] ქმნის პროგრამისტი პროგრამირების ენის დახმარებით.,პროგრამას,პროგრამამ,პროგრამა,1.2916703207010841e-11,36.171971152817946,3.6300731533297565e-12,38.00313851690593,1.8833582529568616e-11,35.62790158783249,0.63
38,wiki_cultural_00795,11,"ხელოვნებათმცოდნეობა — ფართო მნიშვნელობით საზოგადოებრივ მეცნიერებათა კომპლექსი, რომელიც შეისწავლის [MASK] – საზოგადოების მხატვრულ კულტურას მთლიანობაში და ხელოვნების ცალკეულ დარგებს.",ხელოვნებას,ხელოვნებამ,ხელოვნება,2.3404997097582132e-11,35.31439245761751,4.14851430859398e-12,37.81054237649762,7.278635514447416e-11,33.677541022051834,0.63
39,GLC_00124,2,მასწავლებელი [MASK] ასწორებს დადგენილი პასუხების მიხედვით და წერს ქულებს.,ნაშრომებს,ნაშრომებმა,ნაშრომები,3.2498448187931015e-17,54.77240678248336,7.337890196214581e-18,56.91934039163381,2.9540157968187256e-17,54.91010007204302,0.63
40,GLC_00137,2,"ყოველივე [MASK] მოსდევდა კრიტიკა ადამიანის უფლებათა დამცავი წრეებიდან და ბრალდებულთა ადვოკატებისგან როგორც საქართველოში, ისე ქვეყნის ფარგლებს გარეთ.",ამას,ამან,ეს,3.433475058045588e-06,18.151899085908816,1.0718052863012426e-06,19.831525732560745,3.7056605732653e-12,37.97340639751339,0.63
41,GLC_00143,18,"ხელისუფლების წარმომადგენლები უარყოფდნენ ამ თუ სხვა ბრალდებებს, აღნიშნავდნენ რა, რომ ხშირად საერთაშორისო უფლებადაცვითი ორგანიზაციები გადაუმოწმებელ [MASK] ეყრდნობოდნენ.",ინფორმაციას,ინფორმაციამ,ინფორმაცია,8.141338631811551e-12,36.83787111090173,6.011358891555573e-06,17.34387741457639,1.9640946577109757e-11,35.56734458309035,0.63
42,wiki_agronomy_00075,7,"აგრონომიული მომსახურება — ღონისძიებათა სისტემა, [MASK] მიწათმოქმედების კულტურის ასამაღლებლად ატარებენ სამიწათმოქმედო ორგანოები და სოფლის მეურნეობის სპეციალისტები.",რომელსაც,რომელმაც,რომელიც,2.0711675006168674e-06,18.881124336607122,4.951158643962116e-06,17.623802392758783,5.379047706810526e-06,17.504217785067905,0.63
43,wiki_agronomy_00083,6,"აგრონომია იყენებს ლაბორატორიულ და სავეგეტაციო [MASK], საველე ცდას, აგრეთვე ნიადაგის, მცენარეულობის და ა.შ. საექსპედიციო გამოკვლევების შედეგებს.",მეთოდებს,მეთოდებმა,მეთოდები,3.7660094169392805e-18,57.88166910054438,1.552562617804185e-17,55.8381261568302,2.445055373869894e-18,58.50483856929691,0.63
44,wiki_archaeology_00140,8,"ნივთიერი ძეგლების მოსაპოვებლად ტარდება არქეოლოგიური გათხრები, [MASK] ჩვეულებრივ წინ უძღვის არქეოლოგიური დაზვერვა.",რომლებსაც,რომლებმაც,რომლებიც,5.49423085016128e-11,34.08329151460204,1.2531540960480925e-06,19.60600474051015,7.223972160327044e-12,37.01034480566284,0.63
45,wiki_archaeology_00145,23,"თანამედროვე არქეოლოგია არქეოლოგიური ძეგლების გათხრების, ფიქსაციის, რესტავრაცია-კონსერვაციის, კლასიფიკაციის, დათარიღებისა და სხვა დროს წარმატებით იყენებს საბუნებისმეტყველო და ტექნიკურ მეცნიერებათა [MASK].",მეთოდებს,მეთოდებმა,მეთოდები,1.3302766655656063e-16,52.739123195380785,1.7999747907992052e-16,52.30287281688932,2.864629628749122e-16,51.6325008948553,0.63
46,wiki_architecture_00179,6,"უფრო ზუსტად ეს ტერმინი აღწერს [MASK], რომლის მეშვეობით სახელმწიფო მასებზე იდეოლოგიურ ზეგავლენას ახდენდა, იყენებდა რა ამგვარ კონსტრუქციებს სახელმწიფოს ძლიერების გამოხატვის საშუალებად.",არქიტექტურას,არქიტექტურამ,არქიტექტურა,5.342350625925053e-16,50.73337485302911,1.6333987695238323e-12,39.15526009264583,2.2200447959040554e-16,52.00026073073205,0.63
47,wiki_astronomy_00233,10,ციური სხეულების ფიზიკური აგებულების შესახებ თანამედროვე მეცნიერება შედარებით ნაკლებ [MASK] ფლობს და შესაბამისად ჩამოთვლილ სიაში მეორე ამოცანაზე პასუხის გაცემა შედარებით პრობლემატური და ალბათური ხასიათისაა.,ინფორმაციას,ინფორმაციამ,ინფორმაცია,1.3261020283381968e-11,36.13401726520725,5.156011866347396e-06,17.56531298531801,1.051593959198632e-11,36.46863128412031,0.63
48,wiki_astrophysics_00254,8,"ასტროფიზიკა — მეცნიერება, რომელიც იყენებს ფიზიკის [MASK] და პრინციპებს ასტრონომიული ობიექტებისა და ფენომენების შესწავლის მიზნით.",მეთოდებს,მეთოდებმა,მეთოდები,1.0290268165775895e-17,56.43149703353609,9.581794100806514e-18,56.53440989564363,4.443168439040068e-18,57.64311687349798,0.63
49,wiki_astrophysics_00270,4,"ზოგი ზოგადად აღიარებულ [MASK] შეისწავლის; თეორიული ასტროფიზიკა, ესენია: დიდი აფეთქება, კოსმოსური ინფლექცია, შავი მატერია, შავი ენერგია და ფიზიკის ფუნდამენტური თეორიები.",თეორიას,თეორიამ,თეორია,3.990505834177201e-18,57.798134074756796,2.0704646162145794e-18,58.74475116039535,1.0830445492157534e-17,56.35768502608464,0.63
