Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat
10,wiki_mechanics_01979,1,[MASK] დასრულებული სახე მიიღო ისააკ ნიუტონის შრომებში.,მექანიკამ,მექანიკას,მექანიკა,-158.61992414453192,158.61992414453192,-150.4370007229864,150.4370007229864,-148.94370749500519,148.94370749500519
11,wiki_medicine_02020,4,"ბუნებისმეტყველებისა და ტექნიკის [MASK], კლინიკურ-ანატომიური და კლინიკურ-ექსპერიმენტული მიმართულებების განვითარებამ, ავადმყოფობის კვლევის ობიექტურმა მეთოდებმა განაპირობებს მეცნიერული მედიცინის ჩამოყალიბება.",მიღწევებმა,მიღწევებს,მიღწევები,-536.6502048500529,536.6502048500529,-494.5853254886441,494.5853254886441,-542.3547431084891,542.3547431084891
12,wiki_metallurgy_02045,7,ლითონმცოდნეობის დამოუკიდებელ მეცნიერებად ჩამოყალიბება განაპირობა ტექნიკურმა [MASK].,მოთხოვნებმა,მოთხოვნებს,მოთხოვნები,-191.31256339033425,191.31256339033425,-173.11331477414322,173.11331477414322,-174.1421574580882,174.1421574580882
13,wiki_metaphysics_02050,2,ფარდობითობის [MASK] უარყო აბსოლუტური უძრაობის არსებობის მეტაფიზიკური თვალსაზრისი.,თეორიამ,თეორიას,თეორია,-238.70877195488606,238.70877195488606,-225.0290805325475,225.0290805325475,-248.7461296994291,248.7461296994291
14,wiki_metaphysics_02067,1,"[MASK] ვერ შეძლო ბუნების მრავალფეროვნების ახსნა, არსის მეტაფიზიკა დაუპირისპირა ფიზიკას, როგორც ბუნების ფილოსოფიას.",პარმენიდემ,პარმენიდეს,პარმენიდე,-424.90062892446304,424.90062892446304,-443.1090081381819,443.1090081381819,-409.5144992382234,409.5144992382234
15,wiki_mineralogy_02109,4,1635 წელს იტალიელმა [MASK] ბ. ცეზიუსმა შემოიღო ტერმინი „მინერალოგია“.,მეცნიერმა,მეცნიერს,მეცნიერი,-262.69095554313736,262.69095554313736,-251.83018874396683,251.83018874396683,-259.6204286443096,259.6204286443096
16,wiki_mineralogy_02115,22,მინერალოგიური შინაარსის უძველესი წერილობითი წყარო - ეპიფანე კვიპრელის (319-403) მინერალოგიური ტრაქტატის თარგმანი „თვალთა“ — შემოგვინახა „შატბერდის [MASK]“ (X ს.).,კრებულმა,კრებულს,კრებული,-552.9074769206308,552.9074769206308,-537.0191747065101,537.0191747065101,-553.9879100770721,553.9879100770721
17,wiki_molecular_02137,5,50-იანი წლების ბოლოს ინგლისელმა [MASK] ჯ. კენდრიუმ და მ. პერუციმ რენტგენოსტრუქტურული ანალიზით დაადგინეს მიოგლობინისა და ჰემოგლობინის სამგანზომილებიანი სტრუქტურა.,მეცნიერმა,მეცნიერს,მეცნიერი,-660.5377868890725,660.5377868890725,-645.8408144566434,645.8408144566434,-657.8435318749193,657.8435318749193
18,wiki_novel_02194,1,[MASK] შთააგონა ალფრედ ჰიჩკოკის 1960 წლის ამავე სახელწოდების ფილმი და ტელესერიალი „ბეიტსის მოტელი“ (2013-2017).,რომანმა,რომანს,რომანი,-440.79158411152196,440.79158411152196,-478.7804444459329,478.7804444459329,-510.2217080255979,510.2217080255979
19,wiki_oriental_02269,1,"[MASK], თურქთა დემოგრაფიული მოძლიერების შედეგად ევროპაში, მეტად გაიფართოვა მეცნიერული კვლევის სპექტრი, საქართველოში კი თურქოლოგიას ჩაეყარა საფუძველი თბილისის უნივერსიტეტის დაარსების შემდეგ.",თურქოლოგიამ,თურქოლოგიას,თურქოლოგია,-441.33524509518276,441.33524509518276,-427.08368156178636,427.08368156178636,-448.2585419783562,448.2585419783562
20,wiki_paleontology_02316,4,ყველა ამ ტექნიკის [MASK] პალეონტოლოგებს საშუალება მისცა აღმოეჩინათ დედამიწაზე ცხოვრების ევოლუციური ისტორიის დიდი ნაწილი.,გამოყენებამ,გამოყენებას,გამოყენება,-279.64928782634445,279.64928782634445,-278.3594880263537,278.3594880263537,-276.54489797320815,276.54489797320815
21,wiki_philology_02413,5,განსაკუთრებული განვითარება ჰპოვა ამ [MASK] მეოცე საუკუნის საქართველოში.,დარგმა,დარგს,დარგი,-134.85202966173435,134.85202966173435,-133.25263713514107,133.25263713514107,-128.5325956561594,128.5325956561594
22,wiki_physical_02471,1,[MASK] დაადგინა ფიზიკური ქიმიის ერთ-ერთი ძირითადი კანონი — მასის მუდმივობის კანონი.,მანვე,მას,იგი,-203.2280597738058,203.2280597738058,-146.8166826498904,146.8166826498904,-185.0040368130025,185.0040368130025
23,wiki_politics_02589,5,ისინი მიიჩნევენ რომ ამ [MASK] ჩინეთის ეკონომიკურ განვითარებაში დიდი წვლილი შეიტანა.,პოლიტიკამ,პოლიტიკას,პოლიტიკა,-168.0416861204301,168.0416861204301,-159.31587668821456,159.31587668821456,-153.7574482523719,153.7574482523719
24,wiki_semiotics_02659,15,"მის ჩამოყალიბებას ხელი შეუწყო მათემატიკური ლოგიკის, ემპირიული ფსიქოლოგიის, კიბერნეტიკის, მათემატიკური ლინგვისტიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,-348.9181133012933,348.9181133012933,-336.3246032801748,336.3246032801748,-332.87149293466666,332.87149293466666
25,wiki_sociology_02734,4,"მისი აზრით, [MASK] ბუნებისმეტყველებიდან უნდა აიღოს ისეთი მეთოდები, როგორიც არის დაკვირვება, ცდა და შედარებითი ანალიზი.",სოციოლოგიამ,სოციოლოგიას,სოციოლოგია,-356.8689602199576,356.8689602199576,-343.4811177340069,343.4811177340069,-311.4547945889793,311.4547945889793
26,wiki_tax_02795,1,[MASK] თავისი შემოსავალის (გამომუშავებული ფულის) გარკვეული პროცენტი სახელმწიფოს უნდა გადაუხადოს.,მოსახლეობამ,მოსახლეობას,მოსახლეობა,-213.2056248757889,213.2056248757889,-241.6132082207341,241.6132082207341,-206.30078775196833,206.30078775196833
27,wiki_telecommunications_02839,7,პირველი ელექტრომაგნიტური ტელეგრაფი 1832 წელს რუსმა [MASK] პავლე შილინგმა შექმნა.,მეცნიერმა,მეცნიერს,მეცნიერი,-282.7901809621091,282.7901809621091,-267.77243051392435,267.77243051392435,-279.60707112497016,279.60707112497016
28,wiki_telecommunications_02847,10,"განასხვავებენ ასევე საფოსტო კავშირს, რომელსაც საფუძველი ჩაუყარა წერილობითმა [MASK], საფოსტო კავშირი ინფორმაციის მიღება-გადაცემას ფოსტის საშუალებით ახდენს.",ინფორმაციამ,ინფორმაციას,ინფორმაცია,-367.6559956370356,367.6559956370356,-365.6652245962401,365.6652245962401,-372.6632779239743,372.6632779239743
29,wiki_theology_02898,2,ამ [MASK] ახლებურად დააყენა ღვთისმეტყველების პრობლემატიკა.,მოვლენამ,მოვლენას,მოვლენა,-152.1312017777597,152.1312017777597,-149.55276489253683,149.55276489253683,-146.93406544727983,146.93406544727983
30,wiki_veterinary_02926,10,"1959 წელს ინსტიტუტს შეუერთდა საქართველოს ვეტერინარიის სამეცნიერო-კვლევითი ინსტიტუტი და [MASK] მიიღო საქართველოს ზოოტექნიკურ-სავეტერინარო სასწავლო-კვლევითი ინსტიტუტის, ხოლო 1999 წლის 11 მაისიდან კი საქართველოს სახელმწიფო ზოოტექნიკურ-სავეტერინარო აკადემიის სახელწოდება.",მან,მას,იგი,-647.6166393308749,647.6166393308749,-655.9546737784431,655.9546737784431,-647.6881930549283,647.6881930549283
31,wiki_automotive_00362,1,[MASK] მეცნიერული სახე მიიღო გალილეო გალილეის შრომებში.,მექანიკამ,მექანიკას,მექანიკა,-177.9075854409561,177.9075854409561,-168.99352909965958,168.99352909965958,-179.21077726782175,179.21077726782175
32,wiki_biography_00445,4,"ვიზუალურმა და კინომატოგრაფიულმა [MASK] პერსონალური ცხოვრების აღწერაში ახალი განზომილება შეიტანეს, ის რაც წერითი ფორმებისთვის აქამდე შეუძლებელი იყო.",ეფექტებმა,ეფექტებს,ეფექტები,-394.2774073132408,394.2774073132408,-376.1160495965761,376.1160495965761,-385.44578954601235,385.44578954601235
33,wiki_bioinformatics_00465,7,ინფორმატიკის განვითარებას დიდი სტიმული მისცა კომპიუტერის [MASK] და კომპიუტერული ტექნოლოგიის განვითარებამ.,გამოგონებამ,გამოგონებას,გამოგონება,-270.7316834652911,270.7316834652911,-256.272186186691,256.272186186691,-266.8283995472876,266.8283995472876
34,wiki_bioinformatics_00480,12,"როდესაც ინჟინრები და ბიოლოგები ერთობლივად მუშაობდნენ, წარმოიშვა პრობლემა, რომ [MASK] არ იცოდნენ საკმარისი და საჭირო ინფორმაცია ბიოლოგიის შესახებ.",ინჟინრებმა,ინჟინრებს,ინჟინრები,-302.5001291163414,302.5001291163414,-297.9998305206425,297.9998305206425,-305.40691740246723,305.40691740246723
35,wiki_biology_00498,13,"პირველად ვირუსის, როგორც დაავადებათა გამომწვევის არსებობა, 1892 წელს დაამტკიცა რუსმა [MASK] დავით ივანოვსკიმ.",მეცნიერმა,მეცნიერს,მეცნიერი,-260.52569525543163,260.52569525543163,-263.7472563662735,263.7472563662735,-268.40690208708565,268.40690208708565
36,wiki_biotechnology_00542,13,"ახალი ტექნოლოგიების (მიკროელექტრონიკა, რობოტექნიკა, ბიოტექნოლოგია და სხვ.) არნახულმა [MASK], რევოლუციამ ტელეკომუნიკაციებში, მსოფლიო კომპიუტერული ქსელის (ინტერნეტის, ელექტროფოსტის), ფიჭური კავშირგაბმულობის გავრცელებამ, მათი შესაძლებლობების განუხრელმა ზრდამ და გამოყენებამ, შედეგად მოგვცა ის, რომ შეიცვალა დროისა და მანძილის ოდინდელი მნიშვნელობა.",განვითარებამ,განვითარებას,განვითარება,-1102.0284078851162,1102.0284078851162,-1085.458962397395,1085.458962397395,-1082.6638090868669,1082.6638090868669
37,wiki_biotechnology_00547,5,"2022 წელს სინგაპურის ბიოფარმულმა [MASK] 18 მილიარდი ამერიკული დოლარის ღირებულების პროდუქცია აწარმოა, რაც ბოლო ორ ათწლეულში გასამმაგებული მაჩვენებელია.",მრეწველობამ,მრეწველობას,მრეწველობა,-458.7746371468862,458.7746371468862,-446.81335144158396,446.81335144158396,-465.79295150584113,465.79295150584113
38,wiki_children's_00631,3,"მიუხედავად ამისა [MASK] მოახერხა კუნძულიდან გამოქცევა, მისი ცხოვრებაც კარგად წარიმართა, მაგრამ იგი თავისი მეგობარის დაუდევრობის გამო დაიღუპა.",მან,მას,იგი,-359.66217718361236,359.66217718361236,-377.6454215583791,377.6454215583791,-383.96585491637654,383.96585491637654
39,wiki_computer_00677,7,ინფორმატიკის განვითარებას დიდი სტიმული მისცა კომპიუტერის [MASK] და კომპიუტერული ტექნოლოგიის განვითარებამ.,გამოგონებამ,გამოგონებას,გამოგონება,-270.7316834652911,270.7316834652911,-256.272186186691,256.272186186691,-266.8283995472876,266.8283995472876
40,wiki_criminal_00766,2,"ახალმა [MASK] ჩამოაყალიბა მტკიცებულებებისა და მტკიცების წესების ახლებური და მარტივი სისტემა, რომელიც ეყრდნობა ძირითად მტკიცებით სტანდარტებს — გონივრული ეჭვის, დასაბუთებული ვარაუდის, მაღალი ალბათობის ხარისხისა და გონივრული ეჭვის მიღმა (უტყუარი მტკიცებულების) სტანდარტებს.",კოდექსმა,კოდექსს,კოდექსი,-627.325002278516,627.325002278516,-688.1768252086484,688.1768252086484,-611.1772467937519,611.1772467937519
41,GLC_00105,7,რატომღაც ბრძოლის ველის თავისებურ დრტვინვას მიამსგავსა [MASK] ეს გრგვინვა.,მან,მას,იგი,-229.2602720110896,229.2602720110896,-228.92550661023813,228.92550661023813,-230.2501706690074,230.2501706690074
42,wiki_agriculture_00039,5,სოფლის მეურნეობის განვითარების საერთაშორისო [MASK] განვითარებად ქვეყნებში მაღალი ფასების პირობებში სოფლის მეურნეობის პროდუქციის გასაზრდელად გრანტისა და სესხების სახით 200 მილიონი აშშ დოლარი გამოყო.,ფონდმა,ფონდს,ფონდი,-313.04202978337025,313.04202978337025,-307.4973005307147,307.4973005307147,-312.0864241548481,312.0864241548481
43,wiki_agriculture_00044,10,"ჩაის მრეწველობა ბრიტანეთის ინდოეთის დროს განვითარდა, როდესაც ოსტინდოეთის [MASK] სილჰეტის რეგიონში ჩაით ვაჭრობა დაიწყო.",კომპანიამ,კომპანიას,კომპანია,-260.3543660945383,260.3543660945383,-262.2077468211119,262.2077468211119,-260.7712874378325,260.7712874378325
44,wiki_analytical_00094,13,"ისტორიული წყაროების თანახმად ტერმინი „ქიმია“ იმ მნიშვნელობით, რომელიც, [MASK] დასავლურ ევროპულ ცივილიზაციაში შეიძინა, პირველად გამოიყენა ზოსიმე პანოპოლიტანელმა ჩვენი წელთაღრიცხვის IV საუკუნის მეორე ნახევარში.",მან,მას,იგი,-623.8555645962916,623.8555645962916,-626.5622917814416,626.5622917814416,-623.0438828254789,623.0438828254789
45,wiki_anthropology_00134,1,"[MASK] პირველმა გამოთქვა მოსაზრება კლიმატის გავლენის თაობაზე, როგორც ადამიანის, ასევე მისი სულიერი განვითარების წყობის ჩამოყალიბებაზე.",მან,მას,იგი,-220.49621582624053,220.49621582624053,-207.26259791654604,207.26259791654604,-282.28252859199085,282.28252859199085
46,wiki_art_00191,4,უძველესი ცივილიზაციების თითოეულმა [MASK] განავითარა მისთვის დამახასიათებელი გამორჩეული ხელოვნების სტილი.,ცენტრმა,ცენტრს,ცენტრი,-215.8811297323708,215.8811297323708,-220.02388933697983,220.02388933697983,-218.28509342591835,218.28509342591835
47,wiki_art_00192,3,"აღორძინების ხანის [MASK] განსაკუთრებული მნიშვნელობა მიანიჭა მატერიალური სამყაროს რეალურად გამოსახვას და ადამიანის როლს მასში, რაც აისახა ადამიანის სხეულის რეალისტურ გადმოცემაში და გრაფიკული პერსპექტივის სისტემატიური მეთოდის განვითარებაში სამგანზომილებიანი სივრცის სიღრმის გადმოსაცემად.",ხელოვნებამ,ხელოვნებას,ხელოვნება,-730.6155442902066,730.6155442902066,-706.8167702138253,706.8167702138253,-741.4500408776775,741.4500408776775
48,wiki_art_00214,1,[MASK] პრიორიტეტად ავსტრალიური ხელოვნები 2002 წლიდან გაიხადა.,მუზეუმმა,მუზეუმს,მუზეუმი,-162.72775090271242,162.72775090271242,-159.60793149837954,159.60793149837954,-170.5916281511018,170.5916281511018
49,wiki_automatic_00317,6,საბჭოთა ოკუპაციის შემდეგ სახელმწიფო კონტროლიორის [MASK] ფუნქციონირება შეწყვიტა.,ინსტიტუტმა,ინსტიტუტს,ინსტიტუტი,-149.96006032036956,149.96006032036956,-134.25278946251495,134.25278946251495,-146.94148188166326,146.94148188166326
