Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
10,wiki_entomology_01079,1,"[MASK] აქვთ მღრღნელი (ახასიათებთ სწორფრთიანებს, ხეშეშფრთიანებს ანუ ხოჭოებს და სხვა) ან მწუწნავი (ახასიათებთ ქერცლფრთიანებს ანუ პეპლებს, ბუზებს) პირის აპარატი.",მწერებს,მწერები,მწერებმა,-212.2631378740651,212.2631378740651,-217.7509968005476,217.7509968005476,-230.13640110884128,230.13640110884128
11,wiki_entomology_01084,1,"[MASK] ახასიათებთ მკვეთრი, ლამაზი შეფერილობა, უფრო ხშირად მბრწყინავი ლურჯი ან მწვანე ელფერი დაკრავთ.",ხოჭოებს,ხოჭოები,ხოჭოებმა,-125.04486415175319,125.04486415175319,-130.2219625040033,130.2219625040033,-132.2298492350432,132.2298492350432
12,wiki_entomology_01088,2,უკანა [MASK] ეკუთვნის მსხვილი და სწორი ნაწლავი.,ნაწლავს,ნაწლავი,ნაწლავმა,-81.30286185293572,81.30286185293572,-83.18876465732426,83.18876465732426,-84.16855692980721,84.16855692980721
13,wiki_epidemiology_01114,2,მსხვილმასშტაბიან [MASK] პანდემია ეწოდება.,ეპიდემიას,ეპიდემია,ეპიდემიამ,-62.46496469704607,62.46496469704607,-75.62279134976116,75.62279134976116,-83.10291451887412,83.10291451887412
14,wiki_ethics_01132,2,"ეთიკის [MASK] არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",კოდექსს,კოდექსი,კოდექსმა,-193.67352483320914,193.67352483320914,-196.35852826329557,196.35852826329557,-200.63989863534204,200.63989863534204
15,wiki_ethnography_01166,1,"[MASK] ძველთაგანვე აინტერესებდათ მახლობელი თუ შორეული ხალხების ყოფის თავისებურებანი, მათი ზნე-ჩვეულებები და რწმენა-წარმოდგენები.",ადამიანებს,ადამიანები,ადამიანებმა,-134.02040206376057,134.02040206376057,-146.79191160428627,146.79191160428627,-142.53607852006635,142.53607852006635
16,wiki_farming_01204,5,"დიდი სასურსათო მნიშვნელობა აქვს [MASK], რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",კვერცხს,კვერცხი,კვერცხმა,-130.93828223833404,130.93828223833404,-131.91631049097117,131.91631049097117,-138.02882925194854,138.02882925194854
17,wiki_finance_01239,2,"სახელმწიფო [MASK] ბიუჯეტის ფორმირების, განხილვის, დამტკიცების, შესრულების და შესრულების შესახებ ანგარიშის შედგენისა და დამტკიცების საქმეში ეწოდება საბიუჯეტო პროცესი.",ქმედებას,ქმედება,ქმედებამ,-170.2166862310182,170.2166862310182,-169.6963458694839,169.6963458694839,-183.97609811417146,183.97609811417146
18,wiki_finance_01240,4,"ფინანსური ინფორმაციის ყველა [MASK], საკუთარი ინტერესებიდან გამომდინარე, სხვადასხვა სახის ინფორმაცია აინტერესებს, მაგრამ ბასს-ები ორიენტირებულნი არიან ინვესტორთა ინტერესებზე.",მომხმარებელს,მომხმარებელი,მომხმარებელმა,-187.6374530902746,187.6374530902746,-189.94713676097956,189.94713676097956,-195.11664094450603,195.11664094450603
19,wiki_forestry_01244,2,მთის [MASK] უკავიათ მრავალი ქედის ფერდობი მთისწინეთიდან დაწყებული ალპურ სარტყლამდე და მთის ტუნდრამდე.,ტყეებს,ტყეები,ტყეებმა,-114.29139222159495,114.29139222159495,-119.38651192251977,119.38651192251977,-130.98200090198765,130.98200090198765
20,wiki_general_01277,4,"გარდა ამისა, [MASK] აქვს უნარი წარმოქმნას მდგრადი გრძელი, სწორი და განტოტვილჯაჭვიანი ნაერთები.",ნახშირბადს,ნახშირბადი,ნახშირბადმა,-135.73619604450928,135.73619604450928,-152.65779904122402,152.65779904122402,-151.06067897382016,151.06067897382016
21,wiki_geology_01367,1,[MASK] მრავალსაუკუნოვანი ისტორია აქვს.,გეოლოგიას,გეოლოგია,გეოლოგიამ,-37.00797128027495,37.00797128027495,-40.55178041611198,40.55178041611198,-56.83592202754634,56.83592202754634
22,wiki_geophysics_01403,3,დედამიწის სეისმურობის [MASK] დიდი სახალხო-სამეურნეო მნიშვნელობა აქვს მშენებლობის რაციონალურად წარმართვისათვის (სეისმომედეგი ანუ ანტისეისმური მშენებლობა).,შესწავლას,შესწავლა,შესწავლამ,-184.5246417615123,184.5246417615123,-185.71473424536484,185.71473424536484,-188.86125178407306,188.86125178407306
23,wiki_history_01516,5,"არსებობს გარკვეული კრიტერიუმები, [MASK] სამეცნიერო ლიტერატურა უნდა აკმაყოფილებდეს.",რომელსაც,რომელიც,რომელმაც,-70.38733316569247,70.38733316569247,-73.06370592477639,73.06370592477639,-83.71118947101627,83.71118947101627
24,wiki_hydrogeology_01555,3,ამგვარ წყალშემცველ [MASK] არტეზიული აუზი ეწოდება.,სტრუქტურას,სტრუქტურა,სტრუქტურამ,-78.14824156126987,78.14824156126987,-97.96288664836963,97.96288664836963,-105.8937662870046,105.8937662870046
25,wiki_international_01699,1,"[MASK] რა თქმა უნდა აქვს გარკვეული ტრადიციებიც, რადგან მრავალი საუკუნის განმავლობაში იგი ვითარდებოდა, როგორც სხვა სოციალური მეცნიერებების შემადგენელი ნაწილი.",თეორიას,თეორია,თეორიამ,-148.4978798865851,148.4978798865851,-149.64175112571806,149.64175112571806,-157.50995463954723,157.50995463954723
26,wiki_metaphysics_02053,13,"ახლა მეცნიერული ცოდნის გაღრმავებისა და დიფერენციაციის გამო იგი დაიშალა მრავალ დარგებად, [MASK] ერთმანეთთან არანაირი კავშირი არ აქვთ.",რომლებსაც,რომლებიც,რომლებმაც,-150.13178027797807,150.13178027797807,-151.90325330400873,151.90325330400873,-158.3676225952145,158.3676225952145
27,wiki_mineralogy_02114,3,"მინერალთა რეალურ [MASK] ახასიათებს დეფექტები და დისლოკაციები, გარკვეული მოუწესრიგებლობა.",სტრუქტურას,სტრუქტურა,სტრუქტურამ,-125.71145396731313,125.71145396731313,-139.2756848441313,139.2756848441313,-140.5210266665915,140.5210266665915
28,wiki_marketing_01923,7,"გაცვლა ხორციელდება გარკვეული წესების დაცვით, [MASK] ჰქვია გარიგება.",რომელსაც,რომელიც,რომელმაც,-76.95519201847249,76.95519201847249,-84.14482262229801,84.14482262229801,-89.98549444220006,89.98549444220006
29,wiki_music_02167,1,[MASK] ფესვები 1940 და 1950-იანების როკ-ენ-როლიდან აქვს.,მას,იგი,მან,-93.47958668195749,93.47958668195749,-93.1588043107812,93.1588043107812,-87.25844199741005,87.25844199741005
30,wiki_novel_02186,9,"რომანი — დიდი მოცულობის თხრობითი ლიტერატურული ნაწარმოები, [MASK] ახასიათებს რთული სიუჟეტი.",რომელსაც,რომელიც,რომელმაც,-78.1191298739459,78.1191298739459,-88.26650662889416,88.26650662889416,-97.65667190025121,97.65667190025121
31,wiki_novel_02201,1,"[MASK] მნიშვნელოვანი ადგილი უკავია თანამედროვე ლიტერატურაში, მაშინ, როდესაც ანტიკური ხანის ეპოქაში იგი ერთ-ერთი მეორეხარისხოვანი ჟანრთაგანი იყო.",რომანს,რომანი,რომანმა,-132.5872875554774,132.5872875554774,-129.19329302371273,129.19329302371273,-139.67758930560623,139.67758930560623
32,wiki_novel_02206,1,[MASK] გამოკვეთილ ლაიტმოტივად გასდევს რუსეთის იმპერიის როლის საკითხი რიცხოვნებით მცირე ერების ცხოვრებაში.,რომანს,რომანი,რომანმა,-180.87590828370824,180.87590828370824,-183.05505942335725,183.05505942335725,-182.55583731310932,182.55583731310932
33,wiki_paleogeography_02287,1,[MASK] ევალება გადამწერთა სოციალური და პროფესიული შემადგენლობის შესწავლაც.,მას,იგი,მან,-99.85704836833159,99.85704836833159,-96.256016237972,96.256016237972,-96.14403927558068,96.14403927558068
34,wiki_psychology_02623,6,"ფროიდი გვაფრთხილებს, რომ ფსიქოანალიზის [MASK] აუცილებლად თან სდევს არასრულფასოვნების განცდის გაცნობიერება და ასევე საკუთარი აზროვნების წინააღმდეგობრივი დამოკიდებულება მისდამი.",შესწავლას,შესწავლა,შესწავლამ,-190.4513559068667,190.4513559068667,-210.07998030885557,210.07998030885557,-208.7701570402509,208.7701570402509
35,wiki_psychology_02629,3,ფსიქოლოგია მარტო [MASK] აქვს.,ადამიანს,ადამიანი,ადამიანმა,-44.2255632836065,44.2255632836065,-50.47665659293499,50.47665659293499,-53.79261244458239,53.79261244458239
36,wiki_sinology_02690,2,კონფუცის [MASK] ჰყავს მაღალკვალიფიციური ქართველი და ჩინელი პედაგოგები.,ინსტიტუტს,ინსტიტუტი,ინსტიტუტმა,-99.17072795836613,99.17072795836613,-94.27060137513246,94.27060137513246,-102.4634796080547,102.4634796080547
37,wiki_sociolinguistics_02696,9,"სლენგი — მეტყველების არაფორმალური, არასტანდარტული სახეობა, [MASK] ახასიათებს ახლად გამოგონებული ან ახალი მნიშვნელობით ნახმარი სიტყვები და გამონათქვამები.",რომელსაც,რომელიც,რომელმაც,-168.29302357757172,168.29302357757172,-173.1273950690923,173.1273950690923,-181.78876752193048,181.78876752193048
38,wiki_sociology_02723,1,"[MASK] აინტერესებს ჩვენი ქმედება როგორც სოციალური არსებებისა; ამგვარად სოციოლოგიური ინტერესის სფერო მოიცავს, როგორც ანონიმურ ინდივიდუმთა მოკლე კონტაქტს ქუჩაში, ასევე გლობალურ სოციალურ პროცესთა შესწავლას.",სოციოლოგიას,სოციოლოგია,სოციოლოგიამ,-280.8367783537251,280.8367783537251,-277.2291954264545,277.2291954264545,-292.6512113338328,292.6512113338328
39,wiki_banking_00402,4,"ასევე, ეროვნულ [MASK] აქვს ექსკლუზიური უფლება, დაამზადოს მიმოქცევის ან სხვა მიზნით, სამახსოვრო ფულის ნიშნები.",ბანკს,ბანკი,ბანკმა,-151.53981368519243,151.53981368519243,-166.03774014388085,166.03774014388085,-161.5211845577606,161.5211845577606
40,wiki_biochemistry_00424,13,"ნუკლეინის მჟავის მოლეკულები ქმნის დნმს, იგი არის უაღრესად მნიშვნელოვანი ნივთიერება, [MASK] ყოველი უჯრედული ორგანიზმი გენური ინფორმაციის საწყობად იყენებს.",რომელსაც,რომელიც,რომელმაც,-180.1420503510205,180.1420503510205,-182.59569837354982,182.59569837354982,-194.65672277627834,194.65672277627834
41,wiki_computer_00673,1,"[MASK] აქვს გაშვებადი სახე, ანუ პროცესორი მას იყენებს პირდაპირ, რათა შეასრულოს ინსტრუქციები.",პროგრამას,პროგრამა,პროგრამამ,-125.63704004645196,125.63704004645196,-129.87093244810902,129.87093244810902,-141.0100598527536,141.0100598527536
42,wiki_cosmology_00732,2,"სამყაროს [MASK] ხანგრძლივი ისტორია აქვს და მოიცავს მეცნიერებას, ფილოსოფიას, ეზოთერიციზმსა და რელიგიას.",შესწავლას,შესწავლა,შესწავლამ,-101.68427654527501,101.68427654527501,-102.21379277139991,102.21379277139991,-118.55604260029972,118.55604260029972
43,GLC_00030,1,"[MASK] თავისი ამოცანა ჰქონდა გადასაწყვეტი – ეროვნულ-გამათავისუფლებელი მოძრაობა უნდა მიეყვანა ბოლომდე, გამხდარიყო დამოუკიდებელი.",მას,იგი,მან,-147.44377931698298,147.44377931698298,-149.62693036568794,149.62693036568794,-145.40481969810497,145.40481969810497
44,wiki_astrophysics_00271,12,"ხოლო ჭიის ხვრელები მიეკუთვნებიან იმ ჰიპოთეზებისა და თეორიების რიცხვს, რომლებიც [MASK] დაუდასტურებია და არავის აღმოუჩენია, მაგრამ არსებობს მათი არსებობის თეორიული შესაძლებლობა.",არავის,არავინ,არავინ,-188.71402429979125,188.71402429979125,-197.36653397530517,197.36653397530517,-197.36653397530517,197.36653397530517
45,wiki_phonology_02445,2,"ყოველ [MASK], ჩვეულებრივ, ერთი (ზოგჯერ ორი ან რამდენიმე) სამეტყველო ბგერა შეესაბამება.",ფონემას,ფონემა,ფონემამ,-107.2493794814906,107.2493794814906,-113.88264268091815,113.88264268091815,-122.1233631609864,122.1233631609864
46,wiki_phonology_02456,3,"ერთნაირი რაგვარობის [MASK] ჰომოგენური ბგერები ეწოდება, ხოლო სხვადასხვა რაგვარობის ბგერები ერთმანეთის მიმართ ჰეტეროგენულია.",ბგერებს,ბგერები,ბგერებმა,-154.32021766526282,154.32021766526282,-157.33666325287265,157.33666325287265,-165.92329203375502,165.92329203375502
47,wiki_physical_02467,4,ნივთიერებათა აღნაგობის კრისტალთქიმიის [MASK] აქვს ორი ასპექტი: სტერეო ქიმია და კრისტალთსტრუქტურული.,ანალიზს,ანალიზი,ანალიზმა,-184.15999050910642,184.15999050910642,-187.51176651111726,187.51176651111726,-194.3622803104925,194.3622803104925
48,wiki_physical_02498,1,[MASK] როგორც მეცნიერებას საფუძველი ჩაეყარა უძველეს დროში.,დედამიწისმცოდნეობას,დედამიწისმცოდნეობა,დედამიწისმცოდნეობამ,-72.24925163829292,72.24925163829292,-75.0829827635738,75.0829827635738,-88.83873480822065,88.83873480822065
49,wiki_political_02554,2,"პოლიტიკის [MASK] რამდენიმე ქვესფერო გააჩნია: პოლიტიკური თეორია, საჯარო პოლიტიკა, სახელმწიფო პოლიტიკა, საერთაშორისო ურთიერთობები და შედარებითი პოლიტიკა.",მეცნიერებას,მეცნიერება,მეცნიერებამ,-119.71765525898057,119.71765525898057,-124.91733872962413,124.91733872962413,-136.62011479735858,136.62011479735858
